restaurant_id,latitude,longitude,nta,zone_id,in_nyc_nta,in_modeled_microzone
AB8Gujd0ix_ckpQs6pKfBA,40.726077,-73.8524145266815,QN17,qn-forest-hills,True,True
wtG3SUnhH6rAzCh_fo_LLA,40.7320343433362,-73.8569819665895,QN18,qn-rego-middle,True,True
_gF8n8Jde8ZE0Btcq_IHWA,40.74423339396372,-73.8589667,QN25,nta-qn25,True,True
BBPViF2nyVTJO5N8sjP0qw,40.7294864,-73.8590359,QN18,qn-rego-middle,True,True
U7aH5Sy4Z5QfEpzeccz56w,40.7197288162693,-73.8449875895475,QN17,qn-forest-hills,True,True
jUkSkpxsJxiTa5C-H5pnyw,40.72097,-73.84639,QN17,qn-forest-hills,True,True
bzWazLmV5qG4mX8kFjyobw,40.721028007416805,-73.84395100674564,QN17,qn-forest-hills,True,True
Qw3v8TwKBxpuZ9I27itPvg,40.720615,-73.8456149,QN17,qn-forest-hills,True,True
EfEHDvLsdHGpA3iThV9eIg,40.718705,-73.841475,QN17,qn-forest-hills,True,True
Zy5d15tFiaEEupCvHZ1c1w,40.717838,-73.835159,QN17,qn-forest-hills,True,True
wQxJkDpO3kOSBRSsRi3CaA,40.71896,-73.84519,QN17,qn-forest-hills,True,True
YYUvrFhpG22sbP7RFRaxvQ,40.7297819256055,-73.8236096230523,QN37,nta-qn37,True,True
MHuhN-URZQ22Anrpu6juhg,40.7334864923026,-73.8250243663788,QN37,nta-qn37,True,True
OrKO0ALHRvJ9-bYiWZEjiQ,40.73017,-73.82378,QN37,nta-qn37,True,True
GURmB4kTMLpG8AGjx52ILw,40.7182146404843,-73.8372966119012,QN17,qn-forest-hills,True,True
dbfFj6ENhWieONl7iWU_zw,40.7193406921021,-73.8424153243383,QN17,qn-forest-hills,True,True
kdxde9ape1Drp9g4RecVZg,40.720065,-73.845249,QN17,qn-forest-hills,True,True
dT4fl34s1MQaLQARc5BSFw,40.721009372316,-73.846807820392,QN17,qn-forest-hills,True,True
DdY8NOaXpaqznraUJozAlA,40.7238543,-73.8484396,QN17,qn-forest-hills,True,True
TYuy9RpcssgpgL1lpTKkqw,40.7193245164424,-73.84554289999996,QN17,qn-forest-hills,True,True
qTHuKtQermrP4ofuLIs6aw,40.72007,-73.845243,QN17,qn-forest-hills,True,True
sewCqd-hiNLv9sZ9vAzGIQ,40.71969,-73.84397,QN17,qn-forest-hills,True,True
2hPBnt2OkrvnbLTBlDgLpQ,40.74402,-73.82608,QN62,nta-qn62,True,True
wRqS1sMeXk06ga1fv2BykQ,40.73364,-73.82505,QN37,nta-qn37,True,True
GoJHYCY0iSZYpYY4IMy3QA,40.720924,-73.846114,QN17,qn-forest-hills,True,True
h8RN_OM4BkfvjrA6UqSWEA,40.72017816855065,-73.8447975,QN17,qn-forest-hills,True,True
i55b5IU3r9zfekhICKRWMg,40.72993671991,-73.8240346312523,QN37,nta-qn37,True,True
8Xc-LMj-LYjuAitmKS-FZw,40.72601032876519,-73.82181720000001,QN37,nta-qn37,True,True
6Qx8JSZyAu8AySHQYe-4MQ,40.72627789183109,-73.82195459999994,QN37,nta-qn37,True,True
35Yz3RBKUCN265PCazMA2w,40.73042,-73.82407,QN37,nta-qn37,True,True
phRE1Dktjl_WBq1l8I6NMQ,40.7328413960292,-73.8252383640662,QN37,nta-qn37,True,True
ttaDdemnVBVo6UiFB8BfLQ,40.720963376207,-73.8463130593299,QN17,qn-forest-hills,True,True
VYx3pryDWUSJtKlyJTj5qA,40.72034292143083,-73.84593633148131,QN17,qn-forest-hills,True,True
vS27atIOccWbH1gV9r9Cbw,40.7337175,-73.8253763,QN37,nta-qn37,True,True
6wl_GBK2BHyySl5ZPTrHKQ,40.7250689,-73.8213122,QN37,nta-qn37,True,True
VAy0d6h739KL0t0lG4064Q,40.7326732,-73.8253913,QN37,nta-qn37,True,True
_7wnb4BwpD35UpSgjy4L7Q,40.7256232,-73.8215963,QN37,nta-qn37,True,True
UFz3PjLvfnyksIfUxrwVzA,40.7263177141885,-73.8218341572817,QN37,nta-qn37,True,True
